Date,Open,High,Low,Close,Adj Close,Volume
2020-10-13,1213.400024,1222.449951,1195.000000,1198.449951,1193.285400,9176976
2020-10-14,1195.550049,1214.300049,1175.500000,1211.500000,1206.279175,11291459
2020-10-15,1214.199951,1217.000000,1164.000000,1169.250000,1164.211304,14123448
2020-10-16,1180.000000,1203.500000,1173.000000,1199.349976,1194.181519,12911424
2020-10-19,1235.000000,1235.000000,1192.599976,1203.550049,1198.363525,21179778
2020-10-20,1207.500000,1227.400024,1205.900024,1223.949951,1218.675537,13705989
2020-10-21,1230.599976,1251.000000,1221.699951,1246.699951,1241.327515,17820376
2020-10-22,1239.949951,1250.000000,1223.000000,1233.300049,1227.985352,10956530
2020-10-23,1243.500000,1248.449951,1231.199951,1235.800049,1230.474487,7933115
2020-10-26,1229.800049,1242.000000,1204.599976,1210.900024,1205.681885,9785988
2020-10-27,1226.000000,1236.000000,1197.849976,1233.099976,1227.786133,12158890
2020-10-28,1228.000000,1232.000000,1201.500000,1209.599976,1204.387329,8285593
2020-10-29,1200.599976,1204.449951,1178.500000,1187.199951,1182.083862,11530012
2020-10-30,1182.550049,1199.300049,1176.349976,1183.550049,1178.449707,5761358
2020-11-02,1194.349976,1225.000000,1177.500000,1215.250000,1210.013062,10963040
2020-11-03,1226.449951,1250.750000,1225.500000,1247.949951,1242.572144,14082115
2020-11-04,1252.000000,1264.800049,1230.000000,1257.400024,1251.981445,11702411
2020-11-05,1266.000000,1276.000000,1252.349976,1269.199951,1263.730469,10716964
2020-11-06,1266.250000,1310.000000,1265.500000,1307.650024,1302.014893,17852862
2020-11-09,1315.199951,1345.949951,1315.199951,1340.550049,1334.773193,13144220
2020-11-10,1357.000000,1395.000000,1351.550049,1393.650024,1387.644287,20758678
2020-11-11,1399.900024,1414.800049,1370.500000,1389.949951,1383.960205,18058097
2020-11-12,1377.400024,1388.550049,1360.000000,1371.699951,1365.788818,13526974
2020-11-13,1368.800049,1368.800049,1347.000000,1358.800049,1352.944458,11236240
2020-11-14,null,null,null,null,null,null
2020-11-17,1385.800049,1412.599976,1380.599976,1408.449951,1402.380493,15529950
2020-11-18,1403.000000,1419.000000,1399.050049,1408.699951,1402.629395,9431388
2020-11-19,1389.699951,1399.449951,1368.000000,1374.349976,1368.427368,10133441
2020-11-20,1372.650024,1408.400024,1365.050049,1403.650024,1397.601196,10202681
2020-11-23,1415.000000,1423.650024,1375.349976,1394.599976,1388.590088,12623318
2020-11-24,1408.000000,1445.000000,1402.050049,1438.199951,1432.002197,20077200
2020-11-25,1451.300049,1464.400024,1397.000000,1402.800049,1396.754883,12076301
2020-11-26,1415.000000,1432.000000,1387.000000,1426.650024,1420.502075,13971563
2020-11-27,1431.800049,1446.000000,1415.550049,1440.849976,1434.640869,8997290
2020-12-01,1440.849976,1449.000000,1425.500000,1433.300049,1427.123413,8573787
2020-12-02,1431.000000,1431.800049,1394.800049,1406.949951,1400.886963,8946075
2020-12-03,1429.000000,1432.000000,1374.050049,1377.199951,1371.265137,18966611
2020-12-04,1381.000000,1401.449951,1373.300049,1385.599976,1379.628906,13456161
2020-12-07,1375.000000,1379.949951,1358.099976,1372.250000,1366.336426,12158159
2020-12-08,1375.000000,1388.800049,1365.150024,1376.300049,1370.369141,9728948
2020-12-09,1377.000000,1410.050049,1375.050049,1407.199951,1401.135864,11034537
2020-12-10,1398.000000,1402.000000,1375.750000,1385.849976,1379.877808,9863983
2020-12-11,1390.050049,1395.000000,1373.000000,1382.800049,1376.841064,10678192
2020-12-14,1383.000000,1388.000000,1368.000000,1372.150024,1366.236938,8611025
